component_id,stable_key,semantic_name,semantic_side,region,material_family,deformation_type,risk_level,action,confidence_percent,classification_status,target_parent,evidence,notes,geometric_side_provisional,vertex_count,face_count,dominant_groups,technical_flags
0,C000-V000000,Painel externo traseiro esquerdo do capuz,LEFT,HOOD,Tecido,HYBRID,HIGH,RETOPOLOGY,90,FINAL,HOOD,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,CENTER,5639,10896,head:2354.746516|clavicle.L:1641.841698|upper_arm.L:916.217868|neck:392.055836|chest:242.070202|spine_02:92.067884,CROSSES_CENTER_PLANE
1,C001-V000001,Inserto central traseiro do capuz,CENTER,HOOD,Tecido,HYBRID,HIGH,RETOPOLOGY,82,FINAL,HOOD,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,CENTER,1016,1902,head:486.994793|clavicle.R:320.333134|neck:106.357071|chest:73.669575|spine_02:28.645426,CROSSES_CENTER_PLANE
2,C002-V000069,Painel lateral direito do capuz,RIGHT,HOOD,Tecido,HYBRID,HIGH,RETOPOLOGY,88,FINAL,HOOD,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,RIGHT,2664,5083,head:2344.179620|neck:319.820383,
3,C003-V002278,"Casco traseiro esquerdo do moletom, incluindo transição para a manga",LEFT,HOODIE_TORSO,Tecido,SOFT,HIGH,RETOPOLOGY,94,FINAL,HOODIE_TORSO,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.","A ilha cruza tronco, ombro e braço esquerdo; reconstruir a transição torso-manga.",CENTER,11724,22878,upper_arm.L:3560.307967|spine_02:3555.856382|chest:3528.000155|forearm.L:882.167407|clavicle.L:197.668086,CROSSES_CENTER_PLANE|VERY_LARGE_COMPONENT
4,C004-V002555,Painel central traseiro do tronco do moletom,CENTER,HOODIE_TORSO,Tecido,SOFT,HIGH,RETOPOLOGY,87,FINAL,HOODIE_TORSO,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,CENTER,5100,9856,spine_02:3005.916606|chest:2044.885540|clavicle.R:44.248128|upper_arm.R:4.949726,CROSSES_CENTER_PLANE
5,C005-V003089,Painel do ombro e manga superior direita do moletom,RIGHT,HOODIE_TORSO,Tecido,SOFT,HIGH,RETOPOLOGY,93,FINAL,HOODIE_TORSO,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,RIGHT,2426,4631,clavicle.R:1193.059930|upper_arm.R:864.435694|chest:265.319224|spine_02:103.185150,
6,C006-V010017,Painel traseiro da calça na coxa direita,RIGHT,PANTS,Tecido,SOFT,HIGH,RETOPOLOGY,94,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,CENTER,3968,7579,thigh.R:2808.650199|spine_02:469.555189|spine_01:420.619353|pelvis:269.175267,CROSSES_CENTER_PLANE
7,C007-V010972,Painel traseiro esquerdo do quadril e assento da calça,LEFT,PANTS,Tecido,SOFT,HIGH,RETOPOLOGY,92,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,CENTER,4587,8837,thigh.L:1814.228970|spine_01:1662.207690|spine_02:839.015506|pelvis:269.594332|thumb_01.L:1.953503,CROSSES_CENTER_PLANE
8,C008-V013520,Faixa traseira direita da cintura e quadril da calça,RIGHT,PANTS,Tecido,SOFT,HIGH,RETOPOLOGY,84,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,RIGHT,1542,2909,spine_01:1048.648907|thigh.R:360.907703|spine_02:132.443388,
9,C009-V014026,"Camada interna central de pelo da nuca e base posterior da cabeça, escondida pelo capuz",CENTER,HEAD_NECK_FUR,Pelo geométrico,RIGID,HIGH,REBUILD,88,FINAL,HEAD_NECK_FUR,"Atlas contextual v30, prancha v31, diagnóstico em raio-X v32 e grupos dominantes.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,CENTER,538,966,head:418.252522|neck:119.747477,CROSSES_CENTER_PLANE
10,C010-V016641,Painel traseiro e superior da manga direita,RIGHT,SLEEVE_RIGHT,Tecido,SOFT,HIGH,RETOPOLOGY,96,FINAL,HOODIE_SLEEVE_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,RIGHT,3842,7398,upper_arm.R:2507.667892|chest:754.598932|forearm.R:233.334302|spine_02:229.876417|clavicle.R:116.522459,
11,C011-V018149,"Painel esquerdo de transição entre capuz, pescoço e ombro",LEFT,HOOD,Tecido,HYBRID,HIGH,RETOPOLOGY,91,FINAL,HOOD,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,LEFT,4015,7678,clavicle.L:1564.161203|upper_arm.L:1290.693462|head:993.527701|neck:97.720775|chest:49.608348|spine_02:19.288512,
12,C012-V022173,"Painel direito de transição entre capuz, pescoço e ombro",RIGHT,HOOD,Tecido,HYBRID,HIGH,RETOPOLOGY,92,FINAL,HOOD,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,RIGHT,2304,4308,clavicle.R:1157.796948|head:621.020352|upper_arm.R:491.261240|neck:33.921461,
13,C013-V023728,"Inserto central de pelo da parte posterior do crânio, sob o capuz",CENTER,HEAD_NECK_FUR,Pelo geométrico,RIGID,HIGH,REBUILD,91,FINAL,HEAD_NECK_FUR,"Atlas contextual v30, prancha v31, diagnóstico em raio-X v32 e grupos dominantes.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,CENTER,142,235,head:140.521606|neck:1.478394,CROSSES_CENTER_PLANE
14,C014-V023749,"Inserto esquerdo de pelo da lateral posterior da cabeça, próximo à orelha",LEFT,HEAD_NECK_FUR,Pelo geométrico,RIGID,HIGH,REBUILD,93,FINAL,HEAD_NECK_FUR,"Atlas contextual v30, prancha v31, diagnóstico em raio-X v32 e grupos dominantes.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,LEFT,134,212,head:134.000000,
15,C015-V025393,Camada externa de pelo do topo traseiro direito da cabeça,RIGHT,HEAD_NECK_FUR,Pelo geométrico,RIGID,HIGH,REBUILD,82,FINAL,HEAD_NECK_FUR,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,660,1176,head:660.000000,
16,C016-V025517,Cabedal e estrutura superior do calçado direito,RIGHT,SHOE_RIGHT,Calçado,HYBRID,HIGH,RETOPOLOGY,93,FINAL,SHOE_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,RIGHT,6237,12025,foot.R:3476.619888|shin.R:2419.716120|toe.R:340.664000,
17,C017-V025520,Sola e base inferior do calçado direito,RIGHT,SHOE_RIGHT,Borracha rígida,RIGID,LOW,RIGID,96,FINAL,SHOE_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Preservar comportamento rígido e vincular ao osso ou controle correto.,RIGHT,4674,9046,foot.R:4051.113333|toe.R:417.888000|shin.R:204.998669,
18,C018-V026402,Camada central superior de pelo da cabeça,CENTER,HEAD_NECK_FUR,Pelo geométrico,RIGID,HIGH,REBUILD,79,FINAL,HEAD_NECK_FUR,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,CENTER,510,890,head:510.000000,CROSSES_CENTER_PLANE
19,C019-V027428,Painel da calça na canela direita,RIGHT,PANTS,Tecido,SOFT,HIGH,RETOPOLOGY,97,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,RIGHT,4201,8084,shin.R:3458.660815|thigh.R:742.339188,
